Point #,"Left Image (x, y)","Right Image (x, y)"
1,"(40, 28)","(35, 58)"
2,"(121, 48)","(116, 79)"
3,"(180, 23)","(176, 57)"
4,"(253, 56)","(255, 91)"
5,"(356, 10)","(351, 37)"
6,"(395, 32)","(384, 63)"
7,"(468, 32)","(462, 65)"
8,"(454, 102)","(441, 137)"
9,"(392, 122)","(381, 165)"
10,"(322, 110)","(314, 152)"
11,"(252, 119)","(241, 157)"
12,"(195, 124)","(189, 165)"
13,"(98, 121)","(92, 161)"
14,"(50, 111)","(39, 149)"
15,"(44, 188)","(31, 238)"
16,"(90, 196)","(76, 244)"
17,"(173, 173)","(170, 222)"
18,"(262, 181)","(254, 229)"
19,"(331, 168)","(324, 214)"
20,"(401, 180)","(395, 226)"
21,"(452, 168)","(436, 215)"
22,"(496, 232)","(482, 288)"
23,"(386, 246)","(378, 303)"
24,"(302, 239)","(294, 291)"
25,"(249, 233)","(243, 287)"
26,"(171, 233)","(155, 285)"
27,"(103, 242)","(84, 293)"
28,"(47, 262)","(25, 318)"
29,"(45, 317)","(23, 376)"
30,"(111, 304)","(94, 361)"
31,"(184, 318)","(174, 381)"
32,"(270, 314)","(255, 377)"
33,"(336, 318)","(319, 383)"
34,"(380, 336)","(367, 402)"
35,"(466, 319)","(451, 380)"
36,"(488, 395)","(467, 466)"
37,"(376, 370)","(360, 436)"
38,"(341, 374)","(321, 442)"
39,"(265, 386)","(250, 455)"
40,"(179, 402)","(163, 473)"
41,"(116, 389)","(99, 456)"
42,"(35, 392)","(17, 464)"
43,"(37, 462)","(18, 537)"
44,"(95, 463)","(78, 540)"
45,"(191, 458)","(175, 533)"
46,"(252, 447)","(234, 521)"
47,"(343, 467)","(328, 542)"
48,"(411, 469)","(390, 549)"
49,"(468, 478)","(448, 556)"
